,weight,hometown,height,full_name,youth_team,shoots,country,scout_text,ep_id,date_of_birth,position,games_played_17,games_played_18,games_played_19,games_played_20,games_played_21,games_played_22,games_played_23,games_played_24,games_played_25,games_played_26,goals_17,goals_18,goals_19,goals_20,goals_21,goals_22,goals_23,goals_24,goals_25,goals_26,assists_17,assists_18,assists_19,assists_20,assists_21,assists_22,assists_23,assists_24,assists_25,assists_26,penalty_min_17,penalty_min_18,penalty_min_19,penalty_min_20,penalty_min_21,penalty_min_22,penalty_min_23,penalty_min_24,penalty_min_25,penalty_min_26,plus_minus_17,plus_minus_18,plus_minus_19,plus_minus_20,plus_minus_21,plus_minus_22,plus_minus_23,plus_minus_24,plus_minus_25,plus_minus_26,games_played_14,games_played_15,games_played_16,games_played_28,goals_14,goals_15,goals_16,goals_28,assists_14,assists_15,assists_16,assists_28,penalty_min_14,penalty_min_15,penalty_min_16,penalty_min_28,plus_minus_14,plus_minus_15,plus_minus_16,plus_minus_28,games_played_13,goals_13,assists_13,penalty_min_13,plus_minus_13,games_played_27,goals_27,assists_27,penalty_min_27,plus_minus_27,games_played_29,goals_29,assists_29,penalty_min_29,plus_minus_29,games_played_30,games_played_31,games_played_32,goals_30,goals_31,goals_32,assists_30,assists_31,assists_32,penalty_min_30,penalty_min_31,penalty_min_32,plus_minus_30,plus_minus_31,plus_minus_32,games_played_33,games_played_34,goals_33,goals_34,assists_33,assists_34,penalty_min_33,penalty_min_34,plus_minus_33,plus_minus_34,games_played_35,goals_35,assists_35,penalty_min_35,plus_minus_35,games_played_12,goals_12,assists_12,penalty_min_12,plus_minus_12,team_17,team_18,team_19,team_20,team_21,team_22,team_23,team_24,team_25,team_26,league_17,league_18,league_19,league_20,league_21,league_22,league_23,league_24,league_25,league_26,team_14,team_15,team_16,team_28,league_14,league_15,league_16,league_28,team_13,league_13,team_27,league_27,team_29,league_29,team_30,team_31,team_32,league_30,league_31,league_32,team_33,team_34,league_33,league_34,team_35,league_35,team_12,league_12
10,76,Burlington,174,Jeremy Gottzmann,-,L,Canada,Brother: Jeffrey Gottzman,45407,"Apr 02, 1993",C,60.0,60.0,27.0,46.0,38.0,,,,,,4.0,3.0,1.0,28.0,29.0,,,,,,6.0,13.0,11.0,35.0,34.0,,,,,,28.0,8.0,26.0,138.0,120.0,,,,,,-2.0,-0.0,-4.0,0.0,0.0,,,,,,,,50.0,,,,51.0,,,,34.0,,,,74.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erie Otters,Erie Otters,Peterborough Petes,"Burlington Cougars 
“C”",Milton Icehawks,,,,,,OHL,OHL,OHL,OJHL,OJHL,,,,,,,,Burlington Eagles Min Mdgt AAA,,,,SCTAMM,,,,,,,,,,,,,,,,,,,,,
11,80,Charlottetown,178,Craig MacLauchlan,-,L,Canada,,98745,"Dec 13, 1994",C,44.0,53.0,57.0,26.0,27.0,17.0,,,,,6.0,7.0,2.0,0.0,1.0,1.0,,,,,8.0,12.0,4.0,1.0,2.0,0.0,,,,,37.0,46.0,29.0,21.0,31.0,2.0,,,,,0.0,0.0,-22.0,-5.0,-3.0,0.0,,,,,29.0,35.0,34.0,,32.0,11.0,10.0,,24.0,20.0,26.0,,22.0,22.0,40.0,,0.0,0.0,0.0,,24.0,5.0,13.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summerside Western Capitals,Summerside Western Capitals,Charlottetown Islanders,Univ. of Prince Edward Island,Univ. of Prince Edward Island,Univ. of Prince Edward Island,,,,,MJAHL,MJAHL,QMJHL,USports,USports,USports,,,,,Sherwood Falcons Bantam AAA,Charlottetown Knights,Charlottetown Islanders Mdgt AAA,,PEIBAAA,NBPEIMMHL,NBPEIMMHL,,Sherwood Falcons Bantam AAA,PEIBAAA,,,,,,,,,,,,,,,,,,
12,73,,175,Jakob Pelletier,Hockey Quebec-Centre,L,Canada,,410525,"Mar 07, 2001",LW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,91,Prerov,188,Tomas Kundratek,HC Prerov,R,Czech,"Kundrátek is a fairly well-rounded defenseman with good two-way smarts. Has a hard shot and a strong first pass. However, he could stand to play a more physical game, given his size.- Erik K. Piri, EP (2013)",13651,"Dec 26, 1989",D,,,51.0,65.0,70.0,67.0,74.0,7.0,59.0,,,,4.0,2.0,2.0,12.0,17.0,1.0,5.0,,,,19.0,33.0,10.0,13.0,21.0,0.0,22.0,,,,63.0,62.0,42.0,38.0,34.0,6.0,28.0,,,,4.0,13.0,0.0,1.0,-8.0,-1.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicine Hat Tigers,Medicine Hat Tigers,Connecticut Whale,Hershey Bears,Hershey Bears,Hershey Bears,Hershey Bears,,,,WHL,WHL,AHL,AHL,AHL,AHL,AHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,88,Hampton,185,Garrett Hooey,-,L,Canada,,92686,"Jun 02, 1994",C,62.0,68.0,68.0,67.0,68.0,,,,,,8.0,10.0,11.0,25.0,17.0,,,,,,3.0,11.0,16.0,24.0,27.0,,,,,,51.0,47.0,99.0,62.0,103.0,,,,,,-8.0,-14.0,5.0,-2.0,13.0,,,,,,,0.0,52.0,,,0.0,41.0,,,0.0,54.0,,,0.0,81.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarnia Sting,Belleville Bulls,Belleville Bulls,Barrie Colts,"Barrie Colts 
“A”",,,,,,OHL,OHL,OHL,OHL,OHL,,,,,,,Clarington Toros Minor Mdgt AAA,"Clarington Toros Minor Mdgt AAA 
“C”",,,Midget,ETAMMHL,,,,,,,,,,,,,,,,,,,,,
15,75,gantic,173,lix Robert,-,L,Canada,,301394,"Jul 24, 1999",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,73,Sarnia,180,Curtis Crombeen,-,L,Canada,"Father: Pat Crombeen
Uncles: Brian Crombeen & Mike Crombeen
Cousins: B.J. Crombeen & Ryan Crombeen",41318,"Feb 12, 1993",D,33.0,20.0,60.0,14.0,37.0,,,,,,1.0,0.0,3.0,0.0,7.0,,,,,,3.0,3.0,11.0,4.0,21.0,,,,,,8.0,4.0,14.0,4.0,63.0,,,,,,-2.0,-2.0,28.0,3.0,0.0,,,,,,,,73.0,,,,12.0,,,,43.0,,,,92.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Owen Sound Attack,Plymouth Whalers,Plymouth Whalers,Plymouth Whalers,Sarnia Legionnaires,,,,,,OHL,OHL,OHL,OHL,GOJHL,,,,,,,,Lambton Jr. Sting Minor Midget,,,,AHMMPL,,,,,,,,,,,,,,,,,,,,,
17,95,Elektrostal,191,Viktor Baldayev,Kristall Elektrostal,L,Russia,Brother: Daniil Baldayev,166558,"Jun 14, 1995",D,,,87.0,,,,,,,,,,5.0,,,,,,,,,,18.0,,,,,,,,,,83.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rouyn-Noranda Huskies,,,,,,,,,,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,03,Conestogo,191,Chadd Bauman,-,L,Canada,,126923,"Aug 23, 1995",D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,82,Chelyabinsk,175,Vitali Abramov,Traktor Chelyabinsk,L,Russia,,295715,"May 08, 1998",RW/LW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,76,Antigonish,181,Taylor Lambke,-,L,Canada,,32894,"Mar 22, 1990",LW,44.0,45.0,37.0,67.0,45.0,,,18.0,,,33.0,1.0,15.0,22.0,16.0,,,8.0,,,29.0,4.0,14.0,29.0,38.0,,,5.0,,,52.0,12.0,14.0,34.0,28.0,,,12.0,,,0.0,-6.0,8.0,-49.0,-3.0,,,0.0,,,,,33.0,,,,7.0,,,,10.0,,,,28.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeks Major Midgets,Acadie-Bathurst Titan,Acadie-Bathurst Titan,Acadie-Bathurst Titan,Miramichi Timberwolves,,,Concordia Univ.,,,NSMMHL,QMJHL,QMJHL,QMJHL,MJAHL,,,USports,,,,,Weeks Major Midgets,,,,NSMMHL,,,,,,,,,,,,,,,,,,,,,
21,77,Burlington,185,Stephen Midensky,-,R,Canada,,95856,"Apr 15, 1994",D,2.0,56.0,58.0,50.0,22.0,19.0,,,,,0.0,4.0,1.0,8.0,1.0,3.0,,,,,0.0,24.0,12.0,13.0,2.0,17.0,,,,,0.0,54.0,33.0,74.0,8.0,40.0,,,,,0.0,-6.0,-8.0,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burlington Cougars,Markham Waxers,Québec Remparts,Georgetown Raiders,Ryerson Univ.,Toronto Predators,,,,,OJHL,OJHL,QMJHL,OJHL,USports,GMHL,,,,,,,Burlington Eagles Min Mdgt AAA,,,,SCTAMM,,,,,,,,,,,,,,,,,,,,,
22,85,Delta,188,Cam Reid,-,L,Canada,Brother: Brad Reid,40884,"Aug 25, 1991",C,55.0,58.0,54.0,37.0,53.0,66.0,49.0,73.0,98.0,,10.0,12.0,27.0,8.0,19.0,5.0,10.0,26.0,26.0,,16.0,28.0,45.0,21.0,28.0,22.0,17.0,36.0,52.0,,25.0,42.0,70.0,27.0,45.0,19.0,18.0,66.0,50.0,,0.0,0.0,0.0,7.0,6.0,2.0,-5.0,3.0,-0.0,,,,40.0,14.0,,,23.0,5.0,,,28.0,5.0,,,58.0,8.0,,,0.0,1.0,,,,,,41.0,9.0,20.0,12.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria Grizzlies,Victoria Grizzlies,Westside Warriors,St. Cloud State Univ.,Portland Winterhawks,Milwaukee Admirals,Denver Cutthroats,Reading Royals,Reading Royals,,BCHL,BCHL,BCHL,NCAA,WHL,AHL,CHL,ECHL,ECHL,,,,Greater Vancouver Canadians,Wichita Thunder,,,BCMML,ECHL,,,Indy Fuel,ECHL,,,,,,,,,,,,,,,,
23,70,Trail,174,Logan Proulx,-,L,Canada,Team Staff profile of Logan Proulx also available,37123,"Apr 11, 1991",LW,14.0,58.0,65.0,52.0,58.0,21.0,24.0,23.0,,,0.0,4.0,5.0,3.0,15.0,14.0,15.0,12.0,,,2.0,5.0,6.0,8.0,13.0,24.0,27.0,16.0,,,6.0,16.0,20.0,31.0,63.0,26.0,22.0,24.0,,,-4.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,,,,,42.0,,,,10.0,,,,11.0,,,,38.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edmonton Oil Kings,Edmonton Oil Kings,Edmonton Oil Kings,"Trail Smoke Eaters 
“A”",Cowichan Valley Capitals,Selkirk College,Selkirk College,Selkirk College,,,WHL,WHL,WHL,BCHL,BCHL,BCIHL,BCIHL,BCIHL,,,,,Kootenay Ice Midget AAA,,,,BCMML,,,,,,,,,,,,,,,,,,,,,
24,77,Everett,175,Kyler Nixon,-,R,Canada,"Small D-man, looks to build on hard working first year,",76441,"Apr 01, 1993",D,38.0,45.0,66.0,39.0,49.0,22.0,18.0,21.0,20.0,21.0,5.0,0.0,7.0,6.0,12.0,6.0,12.0,6.0,14.0,16.0,17.0,7.0,21.0,15.0,70.0,19.0,12.0,14.0,15.0,29.0,22.0,12.0,30.0,26.0,60.0,10.0,8.0,42.0,20.0,12.0,0.0,-26.0,-24.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.0,,,,9.0,,,,6.0,,,,16.0,,,,0.0,,,,,,,,11.0,9.0,9.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alliston Hornets,Barrie Colts,Kingston Frontenacs,Newmarket Hurricanes,Caledonia Corvairs,Durham Thundercats,Durham Thundercats,Durham Thundercats,Durham Thundercats,Durham Thundercats,GMOHL,OHL,OHL,OJHL,GOJHL,WOAA,WOAA,WOAA,WOAA,WOAA,,Timmins North Stars Bantam AAA,,,,NOBHL,,,,,Durham Thundercats,WOAA,,,,,,,,,,,,,,,,
25,88,LaSalle,185,Taylor Ford,-,L,Canada,,219380,"May 14, 1997",D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,93,Russell,189,Trevor Hendrikx,-,R,Canada,,15540,"Mar 29, 1985",D,46.0,56.0,63.0,68.0,60.0,41.0,72.0,51.0,55.0,4.0,1.0,1.0,8.0,15.0,9.0,5.0,8.0,9.0,8.0,0.0,3.0,8.0,24.0,33.0,47.0,6.0,23.0,15.0,21.0,0.0,37.0,128.0,208.0,100.0,123.0,88.0,170.0,152.0,200.0,22.0,0.0,-9.0,-3.0,-6.0,12.0,4.0,7.0,-6.0,-10.0,-3.0,,0.0,26.0,54.0,,0.0,2.0,5.0,,0.0,3.0,18.0,,0.0,25.0,150.0,,0.0,0.0,-3.0,,,,,,47.0,5.0,9.0,143.0,4.0,42.0,0.0,9.0,114.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peterborough Petes,Peterborough Petes,Peterborough Petes,Peterborough Petes,Peterborough Petes,Dayton Bombers,Elmira Jackals,Johnstown Chiefs,Johnstown Chiefs,Florida Everblades,OHL,OHL,OHL,OHL,OHL,ECHL,ECHL,ECHL,ECHL,ECHL,,Gloucester Rangers Bantam AA,Gloucester Rangers,Allen Americans,,OEBHL AA,CJHL,CHL,,,Allen Americans,CHL,Allen Americans,CHL,,,,,,,,,,,,,,
27,84,Thorold,183,Kyle Langdon,-,R,Canada,Brother: Chris Langdon,267578,"Aug 26, 1998",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,85,Mississauga,185,Legacy verified,-,L,Canada,,273621,"Feb 08, 1999",RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,83,Beloeil,178,David B,-,R,Canada,,128266,"Jun 06, 1995",D,41.0,66.0,60.0,50.0,30.0,,,,,,6.0,5.0,6.0,8.0,1.0,,,,,,15.0,19.0,14.0,24.0,19.0,,,,,,22.0,75.0,76.0,102.0,43.0,,,,,,0.0,-3.0,-6.0,-4.0,2.0,,,,,,,,40.0,,,,1.0,,,,12.0,,,,12.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collège Antoine-Girouard Gaulois,Cégep de St-Hyacinthe Lauréats,Cégep de St-Hyacinthe Lauréats,Cégep de St-Hyacinthe Lauréats,Granby Inouk,,,,,,QMAAA,QJAAAHL,QJAAAHL,QJAAAHL,QJAAAHL,,,,,,,,Collège Antoine-Girouard Gaulois,,,,QMAAA,,,,,,,,,,,,,,,,,,,,,
