ep_id,full_name,date_of_birth,hometown,country,youth_team,position,height,weight,shoots
40266,Seth Swenson,1993-04-17,Denver,USA,-,RW,185,94,R
418542,Sergei Popov,2000-03-27,Maple,Russia,-,LW,180,80,L
88677,Dan Milan,1992-04-14,Detroit,USA,-,D,191,86,L
80447,Riley Sheen,1994-12-21,Edmonton,Canada,-,LW/D,179,70,L
164249,Colton McCarthy,1996-01-30,Salmon,Canada,-,C,183,86,R
26352,Kenton Miller,1991-02-10,Redvers,Canada,-,C,183,80,L
418351,Aidan Prueter,2001-12-21,London,Canada,-,C,178,77,L
12556,Simon Lacroix,1989-05-29,Orléans,Canada,-,D,186,78,R
67665,Dale Mahovsky,1985-01-12,Fort,Canada,-,RW,183,85,R
286608,Logan Barlage,2001-01-12,Humboldt,Canada,-,C,193,91,R
15228,Toni Ritter,1990-02-06,Muskau,Germany,ES Weißwasser,LW,191,89,L
60726,Chandler Stephenson,1994-04-22,Saskatoon,Canada,-,C/LW,180,86,L
201245,Tanner Kaspick,1998-01-28,Brandon,Canada,Brandon MHA,C,185,93,L
32758,Brooks Macek,1992-05-15,Winnipeg,Germany,Assiniboine Park MHA,C/RW,181,82,R
67082,Garrett Sinfield,1987-03-26,London,Canada,-,D,191,95,L
286578,Cole Fonstad,2000-04-24,Estevan,Canada,Estevan MHA,C/LW,178,75,L
56044,Marek Kalus,1993-07-22,Krmelin,Czech,HC Havirov,LW/RW,188,93,L
37089,Guillaume Langelier,1990-04-24,Léry,Canada,-,LW,183,95,R
382867,Mathieu Samson,2000-11-26,Rimouski,Canada,-,RW,193,88,L
31079,Brayden McNabb,1991-01-21,Davidson,Canada,Davidson MHA,D,193,94,L
45108,Alexandre Chênevert,1993-02-12,Montréal,Canada,-,D,185,92,L
287497,Alex Kannok,2000-07-20,Regina,Canada,-,D,183,88,R
37832,Jamie Oleksiak,1992-12-21,Toronto,Canada,Toronto Marlboros MHA,D,201,16,L
195762,Dillon Boucher,1997-04-16,Head,Canada,-,LW,183,88,L
95833,Alexandre Demers,1986-08-25,Laurier,Canada,-,C,172,85,L
37597,Karl Marion,1992-06-21,Blainville,Canada,-,RW/LW,191,90,L
226615,Chris Martenet,1996-09-25,Indianapolis,USA,-,D,200,98,L
45120,Alexandre Roy,1993-08-04,Anselme,Canada,-,LW,185,87,L
69305,Hubert Poulin,1988-12-20,Georges,Canada,-,RW,183,98,R
155382,Valentin Zykov,1995-05-15,Petersburg,Russia,-,LW/RW,185,02,R
54190,Connor Cameron,1985-05-11,Summerside,Canada,-,C,184,77,L
9244,Boris Valábik,1986-02-14,Nitra,Slovakia,HC Nitra,D,201,05,L
175894,Markus Niemeläinen,1998-06-08,Kuopio,Finland,Kiekko-Ahma,D,197,86,L
84245,Aaron Irving,1996-03-03,Edmonton,Canada,-,D,185,84,R
354159,Simon Lafrance,1998-10-12,Eustache,Canada,-,C,175,75,L
438091,Anthony Tabak,2001-12-06,Oakville,Canada,-,LW,194,92,L
76158,Brandon Devlin,1994-04-27,Brampton,Canada,-,D,188,95,R
76504,Tyson Fawcett,1993-06-08,Barrie,Canada,Toronto Young Nationals MHA,C,169,75,R
245610,Taylor Raddysh,1998-02-18,Toronto,Canada,Toronto Marlboros MHA,RW,191,98,R
267781,Sean Allen,1998-04-21,Puslinch,Canada,-,D,191,91,L
267630,Anthony Poulin,1999-08-26,Prosper,Canada,-,C,175,84,L
45566,Mitchell Heard,1992-03-12,Bowmanville,Canada,-,C,185,91,L
152763,Juraj Siska,1996-05-17,Nitra,Slovakia,HK Nitra,RW/C,191,94,L
275863,Adam McCormick,2000-06-25,Woodstock,Canada,-,D,180,82,L
301392,Xavier Pouliot,1998-12-22,Isidore,Canada,-,D,188,96,R
3693,Mikael Ahlén,1988-04-14,Salem,Sweden,IFK Salem,RW,185,92,R
92063,Nathan Cull,1994-01-07,Thunder,Canada,-,LW,180,82,R
31556,Andrew Eastman,1988-12-16,Aurora,Canada,-,D,181,79,R
129527,Riley Day,1985-10-08,Brandon,Canada,-,D,188,03,R
189461,Ryan Verbeek,1996-06-02,Kingston,Canada,-,C/LW,183,95,L
45506,Philip Tot,1993-09-06,Calgary,Canada,-,LW,188,91,L
369524,Brandson Hein,1998-09-27,Winnipeg,Canada,-,LW,184,88,L
18047,Marco Insam,1989-06-05,Selva,Italy,Milano,LW/RW,188,92,R
254268,Brendan Harrogate,1998-02-13,Chatham,Canada,-,C,185,85,R
32801,Shayne Brown,1989-02-20,Stony,Canada,-,D,183,91,L
23118,Spencer Jezegou,1988-10-14,Oshawa,Canada,-,RW,181,93,R
4131,Aki Seitsonen,1986-02-05,Riihimäki,Finland,Nikkarit,C,188,87,R
19045,Mathieu Brodeur,1990-06-21,Eustache,Canada,-,D,197,98,L
472663,Philippe Denis,1998-12-29,Hyacinthe,Canada,-,LW,180,80,L
18596,Corey Fienhage,1990-05-04,Apple,USA,-,D,191,98,R
96328,Kyle Ross,1986-09-12,Regina,Canada,-,C,180,84,L
299579,Tyler Popowich,2000-04-29,Surrey,Canada,-,C,193,91,L
15629,Matt Eagles,1988-01-18,Québec,Canada,-,C,175,79,R
91684,Peter De,1994-04-29,Nobelton,Canada,-,LW,193,90,L
64899,Jared Cipparone,1986-02-14,Tecumseh,Canada,-,C,183,93,L
76776,Eric Locke,1993-11-21,Toronto,Canada,-,C,178,85,L
11264,Phil Oreskovic,1987-01-26,North,Canada,-,D,191,11,R
34799,Adam Polasek,1991-07-12,Ostrava,Czech,HC Vitkovice,D,190,94,L
11603,Kruise Reddick,1990-07-06,Manor,Canada,-,C/RW,173,82,L
33558,Jake Trask,1991-08-31,Saskatoon,Canada,-,C,182,79,R
45282,Phillip Danault,1993-02-24,Victoriaville,Canada,AHM Victoriaville,C,185,88,L
265118,Ivan Kashtanov,1997-02-24,Barnaul,Russia,Altay Barnaul,LW,178,93,R
11308,Max Gordichuk,1986-01-29,Kelowna,Canada,-,D,197,98,R
101099,Carson Samoridny,1994-06-24,Albert,Canada,-,RW,191,88,R
45549,Justin Thomas,1993-01-25,London,Canada,-,LW,183,90,L
92682,Joel Wigle,1994-02-14,Brantford,Canada,-,RW,188,91,R
27945,Sondre Olden,1992-08-29,Oslo,Norway,Manglerud Star,LW/RW,194,83,L
384290,Nathaniel Doyon,2000-01-13,Georges,Canada,-,RW,185,84,R
284913,Jason Imbeault,1999-01-22,Sainte,Canada,-,RW,185,86,R
85322,Christian Marti,1993-03-29,Bülach,Switzerland,EHC Bülach,D,190,95,L
9189,Kris Letang,1987-04-24,Montréal,Canada,Laval MHA,D,183,91,R
33650,Austin Levi,1992-02-16,Columbus,USA,-,D,191,84,L
335688,Cédric Desruisseaux,2000-03-03,Warwick,Canada,-,C/LW,173,75,L
11645,Jeff May,1987-04-04,Richmond,Canada,-,D,188,91,L
97506,Francis Marchand,1987-11-06,Victoriaville,Canada,-,C,177,83,L
283908,Kevin Klima,1997-06-05,Tampa,USA,-,LW/C,178,77,L
128499,Tristan Tremblay,1995-07-01,Berthierville,Canada,-,RW,185,73,R
