,ep_id,scout_text
143,45512,"A center with very good stickhandling and speed. An excellent passer and playmaker who is useful on both powerplay and penalty kill. Could improve his physicality. (Matias Strozyk)

Brother: Lucas Johansen"
147,7261,"Brother: Guntis Dzerins 
Second cousin: Lauris Dzerins"
151,199682,"A stolid yet competitive defenseman that elevates his level of play at the game's key moments. Plays safe and always makes the high-percentage play. Never takes himself out of the unfolding play and gets involved in all areas of the ice. Strong physically and asserts himself through winning board battles. Excellent transition game and makes seeing eye passes look easy. His composed demeanor lets him overlook some dumb penalties that would be very easy to take; that being said, he isn't afraid to stand up for himself or teammates. All-in-all, a determined, hard-working defenseman that makes all of the right decisions in helping his team win. (Curtis Joe, EP 2015)"
158,18886,Team Staff profile of Craig Cunningham also available
163,252481,Brother: Dylan L'Italien
168,318857,"Father: Marek Malík
Brother: Nick Malík"
174,11117,Brother: David Beauregard
177,12518,"A hard working center, Macenauer is very good defensively. He has solid hockey sense and plays a pretty well-rounded game. Is a fast skater with a good, low center of gravity.- Erik K. Piri, EP"
178,18613,Team Staff profile of Dustin Donaghy also available
183,11324,A skilled center with good hockey sense and two-way instincts. Very good skater with speed and agility. Good shot and playmaking abilities. Works hard all over the ice. (EP 2005)
185,21009,Brother: Wheaton King
186,90345,Brother: Tanner Hartman
188,146884,Listed in 2011/12 OJHL stats as Nick Pastorious
189,36713,Team Staff profile of Ron Soucie also available
190,12154,Brother: Kevin Demers
194,11890,An offensive defenseman with good skating and speed. Has a good shot which he uses too little. Very useful on powerplay. Gives a good opening pass. Not very good without the puck. Lacks size and strength. (Matias Strozyk)
201,313319,Twin brother: Darien Pilon
205,148248,Team Staff profile of Stephen Alonge also available
209,161437,Team Staff profile of Bryan Wilson also available
215,16045,"Kivistö is an offensively skilled defenceman. Good both offensively and defensively, although not exceptional on either end of the ice. A good team player. Has a good frame and is a good skater for a player his size. Has a good passing game and a decent shot. Useful on powerplay. (EP 2014)"
216,45472,Brother: Sanfred King
218,56037,Name listed/spelled Lucas Sedlak in QMJHL
220,251476,"A flashy offensive defenceman who takes advantage of opportunities and is always looking to make an impact each shift. Works very hard and isn't afraid to play the body. Skates with exceptional exuberance and fluidity. Accurate release on his shot and a good eye for open passing lanes. Proactive defensively and puts the pressure on the opposition. Needs to have a more active stick and a more felt presence in shooting lanes, but he has shown a willingness to learn, and these skills will develop. All-in-all, an exciting offensive defenceman who displays noteworthy offensive and defensive instincts. (Curtis Joe, EP 2015)
Brother: Jérémy Girard"
221,33887,Cousin: Matt Stajan
222,19311,Team Staff profile of Chris Greene also available
225,45636,Name listed/spelled as Zac McPhee in BCMML
232,201091,2010-11 team: Twins
235,19061,A strong defensive forward. Hard-working. Has developed his offense. (Matias Strozyk)
236,17025,A hard working forward with good speed. Has a very good shot and hockey sense. Is a pure team player with excellent leadership abilities. (EP 2008)
239,195028,Father: Dean Dachyshyn
242,60579,Full name: MacAulay McDonnell
244,23339,Team Staff profile of Colton Grant also available
249,254039,"Hall is a big defensive defenceman with a mean streak. He is at his best when he is not trying to do too much. He had a great end to the 2015-2016 season which saw him have his name called in the third round of the NHL Draft. Hall is very physical and uses his long reach to his advantage. Looks to stay healthy after battling injuries both last season and at the start of this one. (Tyler Parchem, EP 2016)"
251,18800,"Hoffman is a hard working forward who plays a gritty game. Offensively, he has a great shot and good playmaking ability, too. A speedy skater, he could improve his defensive game.
- Erik K. Piri, EP (2014)

Brother: Tyler Hoffman"
252,12542,Brother: Marcel Skokan
257,56060,Brothers: Brad Tesink & Marcus Tesink
260,199709,"Brother: Danny Gatenby
Cousin: Ben Knopp"
264,38032,Brother: Sean Connauton
265,84582,Brother: Kyle Moore
269,37074,Brother : Luc-Olivier Blain
275,201551,Brother: Jakob Brook and Aidan Brook
278,149154,Brother: Jesse Jukosky
279,34661,"A large and physical forward with an aggressive style. (Matias Strozyk)
Brother: Ralf Rinke"
283,213830,Brother: Étienne Blais
284,13425,Father: Pierre Mondou
285,15162,"Berger is a big winger with good hands. Skates well, but should learn to use his size better. Hockey sense is below average.- Ulf Andersson, EP (2012)


Brother: Pascal Berger"
286,49984,"Father: Scott Orban
Brother: James Orban"
292,70426,"Sven Andrighetto is an offensive forward with very good speed. Owns strong offensive instincts and has a nose for the net. Possesses decent puck skills and very good vision, as he sees the ice well and can create scoring chances for his teammates. Andrighetto plays a reliable two-way game and competes hard for the puck at both ends of the ice. Needs to get stronger in order to stand his ground along the boards, as he has still plenty of room to bulk up. Is a versatile player, who can line-up as center or wing. (by Rafik Soliman, December 2015)"
293,62531,Team Staff profile of Chris Morrison also available
295,13479,Team Staff profile of Jeff Kyrzakos also available
296,23346,"Manning is a two-way defenseman with good skating and passing ability. He can also play a very phyiscal game, and fight. - Erik K. Piri, EP (2013)"
301,37244,Twin Brother: Josh Schappert
304,364617,"Father: Murray Craven
Sisters: Haley Craven and Sara Craven"
306,76325,Team Staff profile of Steven Mercier also available
310,326522,"An exceptionally gifted defenceman who knows his strengths and plays by them. He possesses elite skating ability and is at his best when playing high energy, up-tempo hockey. He handles the puck well and is able to keep control of it under pressure. He makes calculated decisions that consistently shift momentum in his team's favor. His creativity in the offensive zone speaks to his confidence in his ability to be a game-changer. Defensively astute, he actively takes away lanes and limits options for the oncoming opposition. All-in-all, Bowen Byram is a workhorse who understands how to take advantage of turnovers and shift the pace of play in his favor in all three zones. (Curtis Joe, EP 2019)

Father: Shawn Byram"
315,23151,"A diminutive winger with great stickhandling and playmaking ability. Kozun oozes offense and competes hard.
His lack of size can hurt him in physical battles.- Erik K. Piri, EP"
316,22772,"Brothers: Hynek Zohorna, Radim Zohorna"
323,204916,Team Staff profile of John Warren also available
330,17686,"A hard-working team player, Schlumpf play his best game in the own end. Hard to beat in one-on-one situations and never overhasty, he's very effective when paired with a skilled, offensive defenceman. (by Reto Grimm, October 2015)"
337,84228,Full name: Nicholaus Charif. Name listed/spelled Nick Chariff in 2010/11 AMHL stats.
339,17752,Brother: Matus Viedensky
341,14433,Brother: Corey Perry
342,101221,Brother: Tomas Kubalik
347,37304,Team Staff profile of Tyler Noseworthy also available
349,38619,Father: Don Biggs
350,21228,Father: Rail Yakupov
353,33869,Team Staff profile of Luke Judson also available
355,69906,Team Staff profile of Steve Spade also available
357,92042,"Father: Shayne Corson
Brother: Noah Corson
Uncle: Darcy Tucker

Although he is a smaller player, Corson is not afraid to mix it up and get under the opposing teams skin. He brings intensity but has not put up great numbers. Increased offensive roe on this years Barrie team. (Tyler Parchem, EP, 2013)"
358,13935,Brother: Mike Egener
359,106180,Brother: Owen Guy
360,56281,"Brother: Jordan Bellerive
Sister: Brielle Bellerive"
362,275739,Father: Stephen BishopBrother: Clark Bishop
363,37254,"Shinnimin is an offensive player who competes to the fullest. Loves to agitate opponents and crash the net. Shinnimin creates chances by just being so intense. Sometimes it gets a bit much and the feelings get on top of him. Has great offensive attributes, useful in power play and skates very well. - David Enbom (2019)"
367,119392,Brother: Cale Fleury
372,238729,"Twin brother: Mitchell Kreis
Brother: Jonathon Kreis

The only 1997 born player on Barrie's roster, Kries has grown as a player both physically and skill wise. Usually plays 4th line minutes but has had a decent OHL rookie campaign. He is a good passer and is a smart player in all three zones. (Tyler Parchem, EP, 2014)"
373,101209,Name also listed as Julien Lepage
374,18632,"Krupp is a defensive defenseman with good size. Lacks some offensive instincts, though.

Father: Uwe Krupp"
389,76701,"Brother: Steve Ferry

Plays both defence and forward, he is undersized but hardworking, can shadow the other teams best players. Has good speed and tenacity."
391,12460,"Legein is a hard-working winger who plays with a lot of grit and energy. Likes to agitate opponents and play a physical game. However, his size isn't ideal for that style.- Erik K. Piri, EP (2010)"
392,104602,Father: Frank Spinozzi
394,45407,Brother: Jeffrey Gottzman
395,269099,Father: Dale Hawerchuk
397,281307,"Father: Ron Sutter
Uncles: Darryl Sutter, Duane Sutter, Brent Suter, Rich Sutter, Brian Sutter
Cousins: Brett Sutter, Merrick Sutter, Brandon Sutter,  Brody Sutter, Luke Sutter, Shaun Sutter"
398,18628,"Akeson is a speedy winger with decent two-way instincts. Contributes offensively with great hands and playmaking ability. Also owns a good shot and a nose for the net. Somewhat lacking in size, which can be a problem against big defenders.- Erik K. Piri, EP (2014)

Brother: Tyler Akeson"
399,11050,"A gritty, grinding forward with a decent scoring touch. Plays a tough, feisty game. Doesn't skate very well. (EP 2009)
Cousin: Dawson Barteaux"
400,45739,Full name: Philip Gervais
401,76329,"Brothers: Jordan Ty Fournier, Stefan Fournier"
403,96052,2012-13 red jersey captain for Pembroke Lumber Kings.
405,199399,Sister: Joelle Fiala
406,103534,Twin Brother: Curtis Honey
410,200933,Sister: Taylor Lind
412,37215,Team Staff profile of Ryan Aasman also available
414,39513,Team Staff profile of Nick Quinn also available
416,120655,"Father: Denis Skapski

Brothers: Mackenzie Skapski, Marshall Skapski"
417,161056,Alberta Cup data lists his birth date as 1997-09-30.
422,23104,Brother: Mason Murovich
426,279238,Father: Konstantin Kurashev
431,245108,"A smart offensive winger that can be a difference maker in games. Very fluid skater and is constantly moving around to get in advantageous positions offensively, as well as defensively. Has a creative streak, as well as refined puck skills. Has the size to be a physical factor in the game, and knows when and how to use it. Will need to work on rounding out his defensive game, transitioning quicker, and keeping puck possession, but he knows where he can improve, and strives to do so on and off the ice. All-in-all, a cunning, motivated offensive forward whose presence pays dividends for his team at the end of the day. (Curtis Joe, EP 2015)"
434,17520,"Uncle: Sergio MomessoBrother: Giulio ScandellaCousin: Stefano Momesso, Diego Scandella"
438,269859,"Katchouk is a well rounded forward with decent size and good offensive instincts. He does everything well, but not one thing great. He has a good speed and generates a good amount of offense, he is not overly physical, but will also not shy away. (Tyler Parchem, EP 2016)"
439,19046,"Champagne is a playmaking center with a solid two-way game. He's good on the dot and hard to move when he's placed himself in front of the opposing net. He protects the puck well using his size, but could improve his skating speed.- Erik K. Piri, EP"
440,153134,"Uncle: Michael Volcan
Grandfather: Mike Volcan (CFL)"
442,10432,"Kohn is a two-way defenseman who plays a well-rounded game. He is a very good skater and keeps it safe in his own end. 
Lacks natural offensive flair, but can make a solid first pass.- Erik K. Piri, EP"
444,239804,Uncle: Dan Maloney
449,79789,Brother: Mitch Topping
452,120198,Father: Brent Gropp
456,107894,"A playmaking center that has an excellent eye for the game; sees the ice like a hawk from above. Creates scoring chances and on-ice energy through taking advantage of puck-possession and making the most of turnovers. Incredible work ethic; will battle against larger players and isn't afraid to do the dirty work in front of the net. Does not possess the largest frame or a dynamic level of skating; however, he does boast a remarkably high level of Hockey-IQ and a deep understanding of the game. There is something left to be desired having observed his individual skills, such as puckhandling, footspeed, and decision-making, for a prolonged period of time; there is definitely room for improvement in the small areas of his game. All-in-all, Merkley brings a medley of skill, smarts, and work ethic to the table, making him an invaluable asset as a Center. (Curtis Joe, EP 2014)

Brother: Jay Merkley"
459,10405,"Cumiskey is a defenseman who is known for his world-class skating ability. He also has good passing skills and can move the puck well. However, he isn't very big and can be pushed around by larger opponents.- Erik K. Piri, EP (2012)


Brother: Clayton Cumiskey"
461,9199,"Pyatt is a two-way center with terrific wheels. A good defensive forward, he has sound playmaking ability, too. Versatile, he can also play the wing in a pinch, as well as kill penalties. Is somewhat lacking in size, though, which can be a problem in physical contests.- Erik K. Piri, EP (2014)

Father: Nelson Pyatt, Brother: Taylor Pyatt & Jesse Pyatt"
465,12566,"Father: Radek Knotek
Uncle: Frantisek Vetrovec"
468,117016,Full name: Mackenzie Lemmon
471,10425,"Family RelationsFather: Dave Gagner
Sister: Jessica Gagner"
472,41287,"Daniel Catenacci can play any position up front, as he is a smart player with very good speed. Smallish, but not afraid of the hard areas of the ice. Owns decent playmaking ability.- Erik K. Piri, EP (2015)

Father: Maurizio Catenacci 
Brother: Michael Catenacci"
474,14741,"McMillan is a winger with terrific speed and forechecking ability. A hard worker, a gritty guy who also can play center. Owns good defensive smarts, has been known to play as a defenseman at times.- Erik K. Piri, EP (2014)"
475,10437,Cousin: Marc-Alain Bégin
481,31508,"Father: Ivo Mocek
Brother: David Mocek"
487,168689,Father: Alexei Protapovich  Uncle: Alexander Protapovich
488,272770,"Skates very well, with balance and noteworthy speed, and handles the puck with ease and control at top speeds. Displays a dangerously accurate shot that he is never hesitant to use; often a threat in the offensive zone. Uses his frame well, to protect the puck, as well as to impose physically upon the opposition. Defensively stable and actively cuts off passing and shooting lanes. Could be more creative, but is more of a straight-line player.  (Curtis Joe, EP 2016)"
492,15545,Team Staff profile of Chris Stevens also available
496,33624,"Hoped to have a strong 2010-2011 season in Barrie, but was counted on too heavily on a bad team."
497,33888,Brother: Daniel Heelis
502,9192,"Chipchura is a center with fine defensive acumen. Plays a well-rounded game, but stands out in the faceoff circle and on the penalty kill. Known for his leadership ability, too.- Erik K. Piri, EP (2015)"
503,284931,Sister: India Benoit
507,89698,Fraternal twin brother: Kris Grant
508,247294,Team Staff profile of Josh Gionfriddo also available
510,126917,Brother: Scott Pedersen
513,12508,"Marshall is a defensive defenseman who plays a simple game. A pretty big body, he likes to hit and be aggressive against opponents. Also skates well and has a decent breakout pass. Lacks natural offensive instincts, though.- Erik K. Piri, EP (2012)"
514,247160,Brother: Nolan De Jong
518,157256,Brother: Jake Dube
519,84242,"A two-way winger with good mobility and scoring ability. Willing to battle in the dirty areas and can always find the puck and make the smart play below the hashmarks. Shows good creativity and deception with the puck. Good individual skills and makes good use of any time and space found. DeBrusk won't beat you up physically, but he can definitely beat you up on the scoreboard. All-in-all, a competitive two-way winger with the natural goal scorer's instincts. (Curtis Joe, EP 2015)

Father: Louie DeBrusk"
524,11679,Brother: Cédric Jacquemet
527,38046,Team Staff profile of Spencer Bennett also available
528,195781,"Father: Brad Crossley

Brother: Brady Crossley

Sister: Alexis Crossley"
529,14088,Team Staff profile of Dany Massé also available
532,120223,"Father: Derek Leedahl
Brother: Garrett Leedahl
Sister: Toni Leedahl
Uncle: Darren Leedahl
Cousins: Blair Leedahl, Brett Leedahl, Glenn Leedahl & Kurt Leedahl"
536,273622,Brother: Justin Formenton
537,90896,Brother: Terry Broadhurst
539,37108,"Father: Ken Schneider, Uncle: Mark Schneider"
542,30922,Brother: Joe Walchessen
547,196166,Father: Jeff MacLeod
561,9349,"Nelson is a playmaking forward with great puck skills. He skates well and has a high work rate. Plays with some aggression.- Ulf Andersson, EP (2013)"
564,56900,Sister : Marie-Philip Poulin
568,45570,Team Staff profile of Colin MacDonald also available
571,45161,Father: Gordon Donnelly
575,83996,Brother: Tyson Witala
581,97551,"Laser is a smart player with good speed and passing ability. He is not a big player but will play physical and make the smart play. He is an overage player for Barrie this season and will try to have a successful year in order to earn a pro contract or CIS opportunity. 

Tyler Parchem-2015"
586,11052,"Santorelli is a skilled winger. He has good scoring instincts and hockey sense. Could improve his skating ability.- Erik K. Piri, EP

Brother: Mike Santorelli"
588,128197,Team Staff profile of Redgie Bois also available
591,11640,Cousin: Frank Banham
592,15737,Team Staff profile of Dustin Cameron also available
600,87651,Birthdate also listed in SMHL as 1995-05-05
602,37153,Team Staff profile of Brendan Hurley also available
603,128524,Brother : David Beaudry
605,275806,Brother: Ryan MacKinnon
606,299741,Father: Ed Zawatsky
608,19058,Team Staff profile of Matt Tassone also available
609,38743,"A big, fearless stay-at-home defenseman. Limited in terms of offensive upside and puck skills, but usually plays a simple and smart game. Not the fastest of skater, but decent mobility. Has the tools to become a reliable depth defenseman logging big minutes on the penalty kill. (EP, 2013)
Brother: Jacob Cederholm"
613,255520,Brother: Philippe Legault
614,11849,"Pánik is an offensive winger with great puck-handling ability and hands. Skates well and also has a good shot. Could improve his play without the puck.- Ulf Andersson, EP"
618,14837,Cousins: Mike Ladd and Andrew Ladd
620,240385,"Father: Adam Foote

Brother: Callan Foote"
623,78063,Sister: Rebecca Leslie
625,275797,"A talented two-way defenceman that can play in all situations and stay productive. Uses his edges well and is, for the most part, a very smooth skater; however, as he gets stronger and adjusts to a more up-tempo style of hockey, he will need to work on his speed in gap-closing. Offensively, he utilizes his keen sense of awareness to be in the right spot at the right time, every time. Soft hands and a deadly shot accentuate his ability to get creative, on occasion. Rock solid defensively, his strong positioning severely limits time and space for the opposition. All-in-all, a well-rounded, reliable, and consistent defenceman that can log a lot of ice time and provide his team with a stable presence on the back end. (Curtis Joe, EP 2017)"
626,13928,Uncle: Vladimir Kames | Cousin: Vladimir Kames
633,83460,"Father: Cam Bowles
Brother: Jagger Bowles"
637,11711,Team Staff profile of Mark Derlago also available
639,9617,"Petružálek is an offensive forward who can play anywhere up front. Owns nice speed and good hands. Also has a quick release on his fine shot. Doesn't thrive in traffic or physical contests. Could still improve his defensive game.- Ulf Andersson, EP (2012)"
641,108883,Brother: Rémi Blanchard
646,21195,Team Staff profile of Chris Morehouse also available
647,252469,"Father: Cory Stillman
Brother: Chase Stillman
Grandfather: Bud Stefanski"
649,14454,Team Staff profile of Andrew Andricopoulos also available
659,33885,Full name: Joshua Ocampo
662,23812,Uncle: Bruce Cowick
664,9498,"Gagnon is a skilled forward who can play both center and wing. He has fine playmaking ability and great patience with the puck on his stick. Also owns good hockey sense and vision. On the downside, he is small and not very effective in physical battles.- Erik K. Piri, EP"
665,15020,Brother: Willie MacDonald
666,107899,"Brother: Cayden Shmyr

Moved to Calgary with his family, when he was 10."
669,32890,Team Staff profile of Antoine Létourneau also available
670,89181,"Brother: Jeremey Leipsic
Sister: Emma Leipsic"
671,10877,Team Staff profile of Alex Bourret also available
672,15735,"Elliott is a defenseman with decent two-way ability. Offensively, he has a great shot and fine puck skills. Could improve his physical game. - Erik K. Piri, Elite Prospects (2013)"
674,37159,Brother: Graysen Cameron
677,283286,"Brother: Elijah Nurse
Sister: Sarah Nurse
Uncle: Donavon McNabb (former NFL player)
Cousins: Darnell Nurse, Kia Nurse, Tamika Nurse"
678,40998,Father: Sergei Berdnikov  Uncle: Yevgeni Berdnikov
679,252475,"Father : Pierre Sévigny
Brother : Vincent Sévigny"
682,11493,"Fraser is a smart defenseman with good vision. Is a skilled passer and likes to be creative offensively, especially on the powerplay.- Ulf Andersson, EP (2013)"
684,37667,Brother: Zach McFadden
689,49967,Brother: Tyson Helgesen
698,37690,Brother: Alex Carnevale
707,11122,"David Desharnais is a small offensive-minded center, with excellent creativity and playmaking skills. Has soft hands, brilliant puck-handling ability and shows very good hand-eye coordination, which makes him also a solid face-off guy. David Desharnais is a quick skater with decent speed and despite his lack of size, the diminutive pivot battles hard along the boards for loose pucks and is hard to push of balance. Needs to play a more reliable two-way game, as he sometimes misses his assignments in the defensive zone, while chasing the puck and leaving his position. He is an excellent playmaking complement to a sniper on a scoring line. (by Rafik Soliman, February 2014)

Brother: Stéphane Desharnais"
708,128521,Cousin: Christopher Paquette
709,128543,Team Staff profile of Jessy Morin also available
710,95055,Uncle: Noël Guyaz
712,269034,"A highly mobile transitional two-way playmaker who always looks poised and reads the game well. A strong skater who moves with a natural ease and accelerates with purpose and drive. Defensively looks to block passing lanes and battle for puck possession. Transitions to offence tremendously well and is very dangerous with the puck. Displays excellent puck control and has a quick release on his shot. His forte is his ability to make plays, as his creativity and hockey sense seem to take over on the attack. All-in-all, a hard-working two-way player who can be relied upon in all situations to make a positive difference.- [Curtis Joe, EliteProspects 2016]
Brother: Christian Kyrou"
714,15736,Team Staff profile of Kirt Hill also available
715,252451,Cousin: Cédric Paquette
721,11335,"An offensive winger and excellent skater. Good puck control, reads the game well. A creative player and good passer. Not a very physical player who should shoot more often. (Matias Strozyk)"
722,37675,Cousin: Michael Davies
726,9496,"A winger who plays with lots of speed and energy. Goes into heavy traffic despite being smallish. Isn't a natural offensive player, but will score some points due to sheer will power. Doesn't have great hands, although he can play center if needed."
730,127501,Brother: Patrik Masin
732,22865,"Famulare is a grinder with a good frame for the purpose. Doesn't shy away from physical play and works hard for his team. Needs to develop his offensive skills in order to make the jump to an offensive role. (EP 2014)

Father: Guido Famulare"
735,86009,"Athanasiou has lightning fast speed and is arguably one of the fastest players in all of Major Junior hockey. He has great offensive instincts and will play the body. His defensive game has gotten better, but could still use some work. Likely AHL bound next season where he will begin his seasoning as a pro. (Tyler Parchem, EP, 2014)"
742,45417,Father: Gord Murphy
751,97517,Team Staff profile of Devan Praught also available
758,34842,"Höfflin is a speedy forward. Is creative on offense. Passes the puck as well as he shoots it.- Ulf Andersson, EP"
759,256614,Brother: Christophe Boivin
760,334797,Brother: Jason Boissonneault
761,11452,Cousin: Dylan Haney
763,84236,Brothers: Bryan McAndrews & Quinton McAndrews
764,10384,"A big and strong defenseman. Plays determined and can play physical in his own end, but should do it more frequently. Moves the puck well and has a very good shot from the point. Passing game and decision game could use some improvement. Good first-pass. (EP 2011) 
Brother: Robin Blidstrand"
765,32769,Team Staff profile of Gaelan Patterson also available
767,15182,Team Staff profile of Robbie Drummond also available
778,18326,Grandfather: Herb Carnegie
786,44666,"A fairly small defenseman with strong skating and impressive on-ice vision. Very creative with the puck. Reads the game well and really valuable on the man advantage. Has a quick release and excellent offensive skills. (Matias Strozyk, 2011)"
791,17500,"Bourque is a speedy winger with a sound two-way game. Has good offensive vision and a fast release on his shot. Tries to play bigger than his size, but his diminutive stature can be a hinderance.- Erik K. Piri, EP (2014)

Father: Ray Bourque
Uncle: Richard Bourque
Brother: Chris Bourque"
796,35702,Brother : Stéphane Savoie
797,12571,"Uncles: Al Brown & Newell Brown
Cousin: Adam Brown"
798,9339,"Father: Brent Suter
Uncles: Brian Sutter, Darryl Sutter, Duane Sutter, Rich Sutter, Ron Sutter
Cousins: Shaun Sutter, Brett Sutter, Brody Sutter, Luke Sutter, Riley Sutter
Brother: Merrick Sutter"
799,11105,Twin brother: Justin Donati
801,168679,"Incredibly skilled offensive winger. Has a remarkably accurate shot to go along with some magic hands. Could be better defensively, but his game is based around his acute sense of what is happening on the ice in the offensive zone. All-in-all, a deadly player who possesses good size, elite-level skill, and smooth skating. (Curtis Joe, EP 2014)


Brother: Andrei Svechnikov"
809,88662,Brother: Alexandre Carrier
811,16591,Brother: Brendan Gaunce
817,9331,"Corrente is a physical defenseman with an aggressive style. Has the ability to make big open-ice checks. However, he doesn't contribute much offensively and can get in penalty trouble if he doesn't watch himself.- Erik K. Piri, EP


Brother: David Corrente"
820,58192,Father: John Anderson
821,95039,"Father: Regis Fuchs, Brother: Robin Fuchs"
822,286680,Brother: Ben Blacker
824,129111,Brother: Samuel Lemay
825,194119,"Father: Allan Sadowy
Sister: Caitlyn Sadowy"
