,_id,ep_id,full_name,date_of_birth,hometown,country,youth_team,position,height,weight,shoots,status,scout_text
47,5e0a6bc8b796e999afd8b8c9,245861,Aaron Bader,"Jul 23, 1985","Faribault, MN, USA",Canada,-,LW,"6'0"" / 183 cm",205 lbs / 93 kg,L,Retired,-
48,5e0a6bcab796e999afd8b8d8,107882,Dylan Stewart,"May 08, 1997","Edmonton, AB, CAN",Canada,-,LW,"6'2"" / 188 cm",209 lbs / 95 kg,L,-,-
49,5e0a6bccb796e999afd8b8f5,15899,Phil Cole,"Sep 06, 1982","Winnipeg, MB, CAN",Canada,-,D,"6'4"" / 193 cm",196 lbs / 89 kg,L,Retired,-
50,5e0a6bceb796e999afd8b91c,214171,Luke Molotowsky,"Mar 21, 1983","Selkirk, MB, CAN",Canada,-,C,"6'1"" / 185 cm",170 lbs / 77 kg,R,Retired,-
51,5e0a6bd0b796e999afd8b925,10352,Eric Fehr,"Sep 07, 1985","Winkler, MB, CAN",Canada,-,C/RW,"6'4"" / 193 cm",207 lbs / 94 kg,R,19/20,-
52,5e0a6bd3b796e999afd8b95f,8818,Kyle Wellwood,"May 16, 1983","Windsor, ON, CAN",Canada,-,C,"5'11"" / 180 cm",185 lbs / 84 kg,R,Retired,Brother: Eric Wellwood
53,5e0a6bd5b796e999afd8b985,17732,David Jarram,"Oct 23, 1987","Kitchener, ON, CAN",Canada,-,RW,"6'3"" / 191 cm",194 lbs / 88 kg,R,Retired,-
54,5e0a6bd7b796e999afd8b99c,32950,Jason Dixon,"Feb 21, 1985","Belle River, ON, CAN",Canada,-,C,"5'10"" / 177 cm",174 lbs / 79 kg,L,Retired,-
55,5e0a6bdab796e999afd8b9b5,10434,"Codey Burki
                                                                                                         a.k.a. ""Codey Bürki""","Nov 17, 1987","Winnipeg, MB, CAN","Switzerland 
                                                                                            /  Canada",-,C,"6'0"" / 183 cm",190 lbs / 86 kg,L,Retired,"Offensively skilled, he has a good technique, a good puck control and stickhandling as well as good skating skills. Received the swiss citizenship - has swiss origins - in July 2012. (Cedric Martin)"
56,5e0a6bdcb796e999afd8b9cd,57268,Jeff Feniak,"Jan 31, 1981","Edmonton, AB, CAN",Canada,-,D,"6'4"" / 193 cm",209 lbs / 95 kg,L,Retired,Brother: Adam Feniak
57,5e0a6bdeb796e999afd8b9e8,11011,Martin Lojek,"Aug 19, 1985","Brno, CZE",Czech Rep.,HC Zdar nad Sazavou,D,"6'5"" / 195 cm",231 lbs / 105 kg,R,-,"A huge stay-at-home defenseman with great reach and defensive skills.
Plays a relatively soft game for a man his size. Lacks speed and mobility.
- Ulf Andersson, EP"
58,5e0a6be1b796e999afd8ba01,123938,Cody Vann,"Jul 04, 1989","Winnipeg, MB, CAN",Canada,-,D,"6'2"" / 188 cm",240 lbs / 109 kg,L,-,-
59,5e0a6be3b796e999afd8ba0e,131271,Tyler Robertson,"Oct 01, 1996","Sherwood Park, AB, CAN",Canada,-,LW,"6'2"" / 188 cm",192 lbs / 87 kg,L,-,Brother: Matthew Robertson
60,5e0a6be5b796e999afd8ba2b,322178,Peyton Krebs,"Jan 26, 2001","Calgary, AB, CAN",Canada,Okotoks MHA,C/LW,"5'11"" / 180 cm",181 lbs / 82 kg,L,22/23,"Krebs is a potent point-producer and offensive catalyst that rises to the occasion whenever he's on the ice. He is a smooth, shifty skater that traverses all three zones with ease and closes the gap on the backcheck quickly. Defensively, his understanding of the game communicates itself through his proactive positioning and an active, lane-disrupting stick. Willing to go to the dirty areas and fight for the puck, but isn't at his best there.
Offensively, below the opposition's blue line, he is an electric, dominant force that showcases excellent decision-making and undeniable puck skills. He's aggressive, but never takes stupid penalties that will put his team in disadvantage state. Krebs' hockey sense is on full display when he's making moves, creating space, and orchestrating opportunities for himself and linemates. All-in-all, Peyton Krebs is an exciting mix of speed, skill, smarts, and hard-nosedness in all three zones. Curtis Joe, EP 2019)

Brother: Dakota Krebs, Dru Krebs"
61,5e0a6be7b796e999afd8ba3e,56705,Tanner Gillies,"Jun 14, 1987","Moose Jaw, SK, CAN",Canada,-,C,"6'3"" / 191 cm",207 lbs / 94 kg,R,-,-
62,5e0a6be9b796e999afd8ba4c,200326,"Alex Overhardt
                                                                                    


                                Legacy verified
                            

 a.k.a. ""Alexander Overhardt""","Jan 15, 1997","Cherry Hills, CO, USA",USA,-,C,"6'0"" / 183 cm",190 lbs / 86 kg,L,18/19,-
63,5e0a6bebb796e999afd8ba5f,9641,Jozef Balej,"Feb 22, 1982","Myjava, SVK",Slovakia,HK Dukla Trencin,RW,"6'0"" / 183 cm",194 lbs / 88 kg,R,18/19,-
64,5e0a6beeb796e999afd8ba80,9510,Daniel Paille,"Apr 15, 1984","Welland, ON, CAN",Canada,Welland MHA,LW,"6'0"" / 184 cm",196 lbs / 89 kg,L,Retired,"Paille is a hard working winger who brings a lot of energy and grit to the ice. He can also be a physical presence, but is somewhat smallish to really excel in a banger role. Lacking in offensive vision, he found a niche as a speedy checker in the NHL.- Erik K. Piri, EP (2015)"
65,5e0a6bf0b796e999afd8bab3,37166,Clinton Atkinson,"Feb 27, 1991","New Westminster, BC, CAN",Canada,-,D,"5'9"" / 175 cm",176 lbs / 80 kg,L,-,-
66,5e0a6bf2b796e999afd8baca,232712,Brett Howden,"Mar 29, 1998","Oakbank, MB, CAN",Canada,Springfield MHA,C,"6'2"" / 188 cm",194 lbs / 88 kg,L,20/21,Brother: Quinton Howden
67,5e0a6bf5b796e999afd8bae3,49430,Jesse Mychan,"Jul 02, 1992","Saskatoon, SK, CAN",Canada,-,LW,"6'2"" / 188 cm",203 lbs / 92 kg,L,19/20,-
68,5e0a6bf7b796e999afd8bb04,221468,Brandon Peet,"Mar 28, 1986","Melville, SK, CAN",Canada,-,C,"6'2"" / 188 cm",154 lbs / 70 kg,L,Retired,-
69,5e0a6bf9b796e999afd8bb0b,9244,Boris Valábik,"Feb 14, 1986","Nitra, SVK",Slovakia,HC Nitra,D,"6'7"" / 201 cm",231 lbs / 105 kg,L,Retired,A defenseman with a physical style. Useful in front of his own goal and on penalty kill. Not a very good skater and sometimes takes too many unnecessary penalties. (Matias Strozyk)
70,5e0a6bfcb796e999afd8bb2f,101642,Tanner Faith,"Oct 05, 1995","Terrace, BC, CAN",Canada,-,D,"6'4"" / 193 cm",218 lbs / 99 kg,R,-,-
71,5e0a6bfeb796e999afd8bb4a,25905,Jonathan Milhouse,"Jan 30, 1989","Yorba Linda, CA, USA",USA,-,C,"5'10"" / 178 cm",170 lbs / 77 kg,R,Retired,"For the 06-07 season with Chicago Steel, his name was listed as Johnathan Millhouse."
72,5e0a6c00b796e999afd8bb61,131262,Andrew Nielsen,"Nov 13, 1996","Red Deer, AB, CAN",Canada,-,D,"6'4"" / 193 cm",227 lbs / 103 kg,L,19/20,"A brutish, big-bodied defenseman that has the size, willingness to give up the body, and physical maturity to make a difference on the ice. Establishes an imposing presence when bearing down on opposing players; does not allow any time or space, and can cause turnovers easily. Has a good eye and is able to make crisp, accurate passes to teammates; also possesses a hard shot. While his skating could be improved, he isn't immobile and can get around the ice post haste. All-in-all, a physical two-way defender who establishes pressure on the opposition and can also provide offensive support. (Curtis Joe, EP 2015)"
73,5e0a6c02b796e999afd8bb7e,32789,Bo Montgomery,"Jan 30, 1990","Moose Jaw, SK, CAN",Canada,-,D,"6'3"" / 191 cm",203 lbs / 92 kg,R,-,-
74,5e0a6c04b796e999afd8bb8d,108471,"Andrew Koep
                                                                                                         a.k.a. ""Andrew Keop""","Mar 06, 1997","Lloydminster, AB, CAN",Canada,-,C/LW,"5'9"" / 175 cm",161 lbs / 73 kg,L,-,-
75,5e0a6c06b796e999afd8bb9e,120797,"Steven Owre
                                                                                                         a.k.a. ""Steve Owre""","Jun 21, 1996","Edmonton, AB, CAN",Canada,-,C,"5'11"" / 180 cm",176 lbs / 80 kg,R,-,-
76,5e0a6c08b796e999afd8bbb1,9516,Jeff Woywitka,"Sep 01, 1983","Vermilion, AB, CAN",Canada,-,D,"6'3"" / 191 cm",223 lbs / 101 kg,L,Retired,"Uncle: Brad Guzda
Brother: Mark Woywitka
Cousin: Mack Guzda"
77,5e0a6c0bb796e999afd8bbde,79339,"Tom Mannino
                                                                                                         a.k.a. ""Thomas, Tommy Mannino Jr.""","Feb 19, 1987","Farmington Hills, MI, USA",USA,-,D,"5'11"" / 180 cm",205 lbs / 93 kg,R,Retired,"Brother: David Mannino
Cousin: Peter Mannino"
78,5e0a6c0db796e999afd8bbf5,32801,Shayne Brown,"Feb 20, 1989","Stony Plain, AB, CAN",Canada,-,D,"6'0"" / 183 cm",201 lbs / 91 kg,L,-,-
79,5e0a6c0fb796e999afd8bbfe,31082,Cameron Abney,"May 23, 1991","Aldergrove, BC, CAN",Canada,-,RW/D,"6'5"" / 195 cm",218 lbs / 99 kg,R,Retired,-
80,5e0a6c11b796e999afd8bc1b,4681,Sami Sandell,"Mar 01, 1987","Nokia, FIN",Finland,NoPy,LW/C,"6'2"" / 188 cm",207 lbs / 94 kg,L,18/19,"Sandell is a rugged offensive minded forward. Primarily a winger, but has also seen ice time as a center. His large frame and strength make him formidable along the boards and in the slot. Has a good set of hands and is a fast skater despite his rugged build. Not a particularly good shooter, but works hard to score goals. Could improve defensively. (EP 2014)"
81,5e0a6c14b796e999afd8bc24,201368,Josh Paterson,"Jan 21, 1999","Edmonton, AB, CAN",Canada,-,C,"6'2"" / 189 cm",203 lbs / 92 kg,R,-,-
82,5e0a6c16b796e999afd8bc3a,215921,Jeff Luckovitch,"Aug 24, 1983","London, ON, CAN",Canada,-,D,"5'10"" / 178 cm",190 lbs / 86 kg,L,Retired,-
83,5e0a6c18b796e999afd8bc43,14425,Keaton Turkiewicz,"Mar 02, 1988","Brantford, ON, CAN",Canada,-,RW,"5'11"" / 180 cm",185 lbs / 84 kg,R,Retired,-
84,5e0a6c1bb796e999afd8bc60,428849,Joona Kiviniemi,"Dec 17, 2001","Oulu, FIN",Finland,Kärpät,LW,"6'1"" / 185 cm",176 lbs / 80 kg,L,Junior,-
85,5e0a6c1db796e999afd8bc67,218323,Matt Timmins,"Mar 20, 1983","Kingston, ON, CAN",Canada,-,D,"6'2"" / 188 cm",185 lbs / 84 kg,R,Retired,-
86,5e0a6c20b796e999afd8bc72,37180,"Joe Morrow
                                                                


 a.k.a. ""Joseph Morrow""","Dec 09, 1992","Edmonton, AB, CAN",Canada,Strathcona MHA,D,"6'1"" / 185 cm",207 lbs / 94 kg,L,20/21,"Father: Dave Morrow
Uncle: Darrel Morrow
Brother: Josh Morrow"
87,5e0a6c22b796e999afd8bc9b,11361,Clayton Stoner,"Feb 19, 1985","Port McNeil, BC, CAN",Canada,-,D,"6'4"" / 193 cm",216 lbs / 98 kg,L,Retired,-
88,5e0a6c24b796e999afd8bcc8,17969,Ryan Jorde,"Mar 23, 1982","Kelowna, BC, CAN",Canada,-,D,"6'3"" / 191 cm",216 lbs / 98 kg,R,Retired,Team Staff profile of Ryan Jorde also available
89,5e0a6c26b796e999afd8bcf5,17855,Tyrel Lucas,"Mar 04, 1984","Williams Lake, BC, CAN",Canada,-,LW,"6'1"" / 186 cm",181 lbs / 82 kg,L,-,-
90,5e0a6c28b796e999afd8bd16,26394,"Daulton Siwak
                                                                                                         a.k.a. ""Dalton Siwak""","Oct 25, 1993","Olds, AB, CAN",Canada,-,C/RW,"6'1"" / 185 cm",205 lbs / 93 kg,R,-,Sister: Skyelar Siwak
91,5e0a6c2ab796e999afd8bd3b,206259,Chad Thompson,"Jun 29, 1984","Orillia, ON, CAN",Canada,-,D,"5'11"" / 180 cm",194 lbs / 88 kg,L,Retired,-
92,5e0a6c2db796e999afd8bd48,186658,Ryan Thomas,"Apr 12, 1981","Regina, SK, CAN",Canada,-,C,"5'9"" / 175 cm",190 lbs / 86 kg,L,-,-
93,5e0a6c30b796e999afd8bd59,51853,Wilson Dumais,"Feb 24, 1993","Southend, SK, CAN",Canada,-,LW,"5'11"" / 180 cm",181 lbs / 82 kg,L,-,-
94,5e0a6c32b796e999afd8bd73,32792,Garrett Taylor,"May 13, 1991","San Diego, CA, USA",USA,-,LW,"6'0"" / 182 cm",170 lbs / 77 kg,L,-,-
95,5e0a6c34b796e999afd8bd7e,14097,Cody Hobbs,"May 31, 1989","Prince Albert, SK, CAN",Canada,-,D,"6'1"" / 186 cm",187 lbs / 85 kg,L,-,-
96,5e0a6c36b796e999afd8bd97,10998,Matt Ellis,"Aug 31, 1981","Welland, ON, CAN",Canada,Welland Tigers,LW,"6'0"" / 184 cm",207 lbs / 94 kg,L,Retired,-
97,5e0a6c38b796e999afd8bdcc,14620,Scott Sheppard,"Sep 28, 1983","Selkirk, ON, CAN",Canada,-,RW,"5'11"" / 181 cm",190 lbs / 86 kg,R,Retired,-
98,5e0a6c3ab796e999afd8bded,11490,Owen Fussey,"Apr 02, 1983","Winnipeg, MB, CAN","Canada 
                                                                                            /  U.K.",-,RW,"6'0"" / 182 cm",194 lbs / 88 kg,L,Retired,-
99,5e0a6c3cb796e999afd8be0d,264741,Austyn Playfair,"Jul 30, 1997","Scottsdale, AZ, USA","Canada 
                                                                                            /  USA",-,C,"6'5"" / 195 cm",220 lbs / 100 kg,L,Retired,"Father: Jim Playfair
Brothers: Dylan Playfair, Jackson Playfair"
100,5e0a6c3fb796e999afd8be18,292553,Reid Perepeluk,"May 01, 2000","Yorkton, SK, CAN",Canada,-,RW/D,"6'3"" / 191 cm",214 lbs / 97 kg,R,-,-
101,5e0a6c41b796e999afd8be2b,12462,Nick Spaling,"Sep 19, 1988","Palmerston, ON, CAN",Canada,Drayton Flyers,C/LW,"6'1"" / 185 cm",198 lbs / 90 kg,L,Retired,"Spaling is a hard working, checking forward who can play any position up front. He is a skilled penalty killer and also has some scoring ability.


Brother: Nathan Spaling"
102,5e0a6c43b796e999afd8be50,157251,Andrew Fyten,"Oct 13, 1998","Didsbury, AB, CAN",Canada,-,C,"6'1"" / 185 cm",190 lbs / 86 kg,R,-,"Brothers: Austin Fyten, Seth Fyten & Tyler Fyten
Sister: Caitlin Fyten"
103,5e0a6c46b796e999afd8be6b,107378,Dan Mercer,"May 04, 1987","West Vancouver, BC, CAN",Canada,-,D,"6'3"" / 191 cm",207 lbs / 94 kg,R,Retired,-
104,5e0a6c48b796e999afd8be84,476673,Jalen Luypen,"Jun 28, 2002","Kelowna, BC, CAN",Canada,-,LW,"5'10"" / 178 cm",150 lbs / 68 kg,L,-,-
105,5e0a6c4ab796e999afd8be8f,166425,Patrik Maier,"Nov 06, 1996","Bratislava, SVK",Slovakia,HC Slovan Bratislava,D,"6'0"" / 182 cm",192 lbs / 87 kg,L,19/20,-
106,5e0a6c4db796e999afd8be9c,14563,Justin Donati,"Oct 17, 1986","Toronto, ON, CAN","Canada 
                                                                                            /  Italy",-,C,"5'10"" / 178 cm",165 lbs / 75 kg,R,19/20,Twin brother: Tyler Donati
107,5e0a6c4fb796e999afd8bec7,258401,Koletrane Wilson,"Sep 01, 1999","Edmonton, AB, CAN",Canada,-,D,"6'3"" / 191 cm",220 lbs / 100 kg,R,-,Brother: Klarc Wilson
108,5e0a6c51b796e999afd8bee0,33128,Andrew Hotham,"Aug 29, 1986","Barrie, ON, CAN",Canada,-,D,"6'2"" / 188 cm",185 lbs / 84 kg,L,19/20,Brother: Scott Hotham | Father: Greg Hotham
109,5e0a6c53b796e999afd8bf0f,96353,Jamie Klie,"Mar 25, 1987","Harrow, ON, CAN",Canada,-,D,"6'0"" / 183 cm",198 lbs / 90 kg,R,Retired,-
110,5e0a6c56b796e999afd8bf22,250717,Colin Stone,"Jul 04, 1986","Calgary, AB, CAN",Canada,-,F,"6'0"" / 183 cm",170 lbs / 77 kg,-,-,-
111,5e0a6c58b796e999afd8bf29,59476,Vladimir Sapozhnikov,"Aug 02, 1982","Seversk, RUS",Russia,Yantar Seversk,D,"6'2"" / 188 cm",209 lbs / 95 kg,L,Retired,-
112,5e0a6c5ab796e999afd8bf31,10426,Bryan Little,"Nov 12, 1987","Edmonton, AB, CAN",Canada,Cambridge Hawks,C,"6'0"" / 183 cm",192 lbs / 87 kg,R,23/24,-
113,5e0a6c5db796e999afd8bf5e,351688,"Henrik Rybinski
                                                                                                         a.k.a. ""Henry Rybinski""","Jun 26, 2001","Vancouver, BC, CAN",Canada,-,RW,"6'1"" / 185 cm",176 lbs / 80 kg,R,-,-
114,5e0a6c5eb796e999afd8bf6f,120641,Markson Bechtold,"Mar 25, 1996","Strathmore, AB, CAN",Canada,-,LW/C,"6'1"" / 185 cm",194 lbs / 88 kg,L,-,-
115,5e0a6c61b796e999afd8bf88,247142,Caleb Fantillo,"Apr 21, 1998","Coquitlam, BC, CAN",Canada,-,RW,"5'10"" / 178 cm",183 lbs / 83 kg,R,Retired,-
